#Duplication rate	Coverage
1.0	28547.0
2.0	8455.0
3.0	3381.0
4.0	1922.0
5.0	1147.0
6.0	837.0
7.0	581.0
8.0	464.0
9.0	338.0
10.0	347.0
11.0	235.0
12.0	209.0
13.0	155.0
14.0	171.0
15.0	138.0
16.0	145.0
17.0	107.0
18.0	116.0
19.0	98.0
20.0	101.0
21.0	78.0
22.0	74.0
23.0	67.0
24.0	60.0
25.0	49.0
26.0	56.0
27.0	48.0
28.0	52.0
29.0	46.0
30.0	50.0
31.0	45.0
32.0	41.0
33.0	37.0
34.0	34.0
35.0	28.0
36.0	36.0
37.0	19.0
38.0	31.0
39.0	25.0
40.0	26.0
41.0	37.0
42.0	21.0
43.0	23.0
44.0	19.0
45.0	16.0
46.0	23.0
47.0	14.0
48.0	16.0
49.0	14.0
50.0	2158.0
