#Mapping quality	mapping quality
0.0	143675.0
1.0	4771.0
2.0	4092.0
3.0	5960.0
4.0	3400.0
5.0	3957.0
6.0	2824.0
7.0	2397.0
8.0	1771.0
9.0	1636.0
10.0	1547.0
11.0	1222.0
12.0	1023.0
13.0	1493.0
14.0	825.0
15.0	1031.0
16.0	1189.0
17.0	1132.0
18.0	719.0
19.0	649.0
20.0	632.0
21.0	717.0
22.0	291.0
23.0	366.0
24.0	1166.0
25.0	1452.0
26.0	1406.0
27.0	1345.0
28.0	483.0
29.0	622.0
30.0	611.0
31.0	203.0
32.0	211.0
33.0	54.0
34.0	554.0
35.0	197.0
36.0	442.0
37.0	277.0
38.0	486.0
39.0	232.0
40.0	2015.0
41.0	1075.0
42.0	1082.0
43.0	407.0
44.0	915.0
45.0	2376.0
46.0	970.0
47.0	655.0
48.0	700.0
49.0	238.0
50.0	771.0
51.0	420.0
52.0	189.0
53.0	934.0
54.0	784.0
55.0	1219.0
56.0	1532.0
57.0	2221.0
58.0	2503.0
59.0	107406.0
60.0	413267.0
