#Duplication rate	Coverage
1.0	4257.0
2.0	944.0
3.0	378.0
4.0	219.0
5.0	156.0
6.0	107.0
7.0	69.0
8.0	56.0
9.0	53.0
10.0	46.0
11.0	16.0
12.0	34.0
13.0	22.0
14.0	24.0
15.0	9.0
16.0	9.0
17.0	13.0
18.0	12.0
19.0	7.0
20.0	7.0
21.0	6.0
22.0	7.0
23.0	5.0
24.0	8.0
25.0	7.0
26.0	13.0
27.0	10.0
28.0	5.0
29.0	3.0
30.0	10.0
31.0	9.0
32.0	10.0
33.0	7.0
34.0	2.0
35.0	2.0
36.0	3.0
37.0	4.0
38.0	4.0
39.0	2.0
40.0	2.0
41.0	4.0
42.0	4.0
43.0	1.0
44.0	4.0
45.0	0.0
46.0	2.0
47.0	2.0
48.0	2.0
49.0	3.0
50.0	986.0
