#Duplication rate	Coverage
1.0	7540.0
2.0	1636.0
3.0	596.0
4.0	376.0
5.0	234.0
6.0	197.0
7.0	127.0
8.0	110.0
9.0	91.0
10.0	83.0
11.0	60.0
12.0	63.0
13.0	41.0
14.0	53.0
15.0	42.0
16.0	48.0
17.0	35.0
18.0	26.0
19.0	20.0
20.0	22.0
21.0	25.0
22.0	15.0
23.0	18.0
24.0	14.0
25.0	17.0
26.0	9.0
27.0	10.0
28.0	7.0
29.0	11.0
30.0	8.0
31.0	11.0
32.0	7.0
33.0	4.0
34.0	6.0
35.0	2.0
36.0	6.0
37.0	3.0
38.0	3.0
39.0	5.0
40.0	4.0
41.0	4.0
42.0	6.0
43.0	6.0
44.0	5.0
45.0	2.0
46.0	7.0
47.0	3.0
48.0	2.0
49.0	1.0
50.0	1111.0
