#Mapping quality	mapping quality
0.0	114359.0
1.0	3517.0
2.0	3052.0
3.0	5701.0
4.0	2629.0
5.0	3734.0
6.0	2743.0
7.0	1898.0
8.0	2059.0
9.0	1343.0
10.0	1547.0
11.0	626.0
12.0	1663.0
13.0	1034.0
14.0	1229.0
15.0	742.0
16.0	1850.0
17.0	1414.0
18.0	821.0
19.0	423.0
20.0	573.0
21.0	549.0
22.0	365.0
23.0	277.0
24.0	546.0
25.0	476.0
26.0	885.0
27.0	298.0
28.0	963.0
29.0	279.0
30.0	607.0
31.0	339.0
32.0	102.0
33.0	380.0
34.0	453.0
35.0	233.0
36.0	211.0
37.0	277.0
38.0	252.0
39.0	303.0
40.0	931.0
41.0	541.0
42.0	1363.0
43.0	837.0
44.0	453.0
45.0	2378.0
46.0	196.0
47.0	425.0
48.0	400.0
49.0	141.0
50.0	66.0
51.0	782.0
52.0	100.0
53.0	574.0
54.0	458.0
55.0	842.0
56.0	673.0
57.0	1436.0
58.0	1780.0
59.0	101766.0
60.0	259450.0
