#Read position (bp)	Clipping profile
0.0	1.8070487655978411
1.0	1.7861671545506588
2.0	1.7805692078678919
3.0	1.7771575837092954
4.0	1.7741921478209384
5.0	1.7704132763937608
6.0	1.7615272653810792
7.0	1.7531389259005874
8.0	1.7455022420445747
9.0	1.73557626914049
10.0	1.7321818060692107
11.0	1.5882380378726664
12.0	1.5177883422194016
13.0	1.4614519247755409
14.0	1.4167335634452092
15.0	1.3516621525570551
16.0	1.262434795161658
17.0	1.1386724656497669
18.0	1.1019889254011996
19.0	1.0727189748735255
20.0	1.0326409715536788
21.0	0.9723849617666419
22.0	0.9143290033736295
23.0	0.8869364757984222
24.0	0.8215767586433446
25.0	0.7705911682248876
26.0	0.7366396730771679
27.0	0.7200140116845725
28.0	0.6403453799246785
29.0	0.5866346088403007
30.0	0.5509258183513323
31.0	0.5281496232643662
32.0	0.44061434907841357
33.0	0.364604461134479
34.0	0.3018841192087379
35.0	0.22318337277351624
36.0	0.21641847215320129
37.0	0.21391295340493646
38.0	0.2122483279351989
39.0	0.2108823053847751
40.0	0.20998992884429724
41.0	0.2092451376547445
42.0	0.2085209397699721
43.0	0.2080061071504656
44.0	0.2073093670054002
45.0	0.2064650415094096
46.0	0.20600169215185382
47.0	0.2054216474005432
48.0	0.20387371732456042
49.0	0.20342409683685808
50.0	0.2029538830443755
51.0	0.20195853997999635
52.0	0.18135150632988423
53.0	0.16456453071651006
54.0	0.16398448596519943
55.0	0.13931027462098625
56.0	0.1384110336455816
57.0	0.13767653910841904
58.0	0.136900857961696
59.0	0.13636543203740925
60.0	0.12165494798937783
61.0	0.12088269906011814
62.0	0.12049829070421998
63.0	0.12016879782773583
64.0	0.10036147084659042
65.0	0.09985007044454733
66.0	0.09948968761089279
67.0	0.09908125373275099
68.0	0.098789515248364
69.0	0.09850464119890376
70.0	0.08280911073888332
71.0	0.05410890831012954
72.0	0.053336659380869844
73.0	0.052760046847022596
74.0	0.05193974687327563
75.0	0.05145580421093955
76.0	0.051191523466259575
77.0	0.05080368289289803
78.0	0.05054283436568142
79.0	0.05041584231953649
80.0	0.05013096827007625
81.0	0.049986815136614446
82.0	0.04973626326178796
83.0	0.04943766034247421
84.0	0.04903952311672255
85.0	0.04883015785145658
86.0	0.04853841936706958
87.0	0.048212358708048825
88.0	0.04793778131097871
89.0	0.04770095830600573
90.0	0.047522482997910155
91.0	0.04730968551518082
92.0	0.04704883698796421
93.0	0.04676739515596734
94.0	0.0465992165002619
95.0	0.04636239349528892
96.0	0.04617018931733984
97.0	0.04602946840134141
98.0	0.04582353535353882
99.0	0.04335577099737116
100.0	0.04310865134000806
101.0	0.042909582727132224
102.0	0.04311551577493481
103.0	0.04271394633171977
104.0	0.04257322541572134
105.0	0.04269678524440289
106.0	0.04261097980781847
107.0	0.0424908521966003
108.0	0.04226775806148083
109.0	0.04209614718831201
110.0	0.04199661288187409
111.0	0.04211330827562889
112.0	0.04194856183738682
113.0	0.04180784092138839
114.0	0.04226089362655408
115.0	0.0425491998934777
116.0	0.04251830993630731
117.0	0.04251144550138056
118.0	0.04242220784733277
119.0	0.04244280115211303
120.0	0.042353563498065246
121.0	0.0423741568028455
122.0	0.04250114884899043
123.0	0.04238445345523563
124.0	0.042329537975821604
125.0	0.042205978147140055
126.0	0.0423158091059681
127.0	0.04226089362655408
128.0	0.042329537975821604
129.0	0.04230551245357797
