#Mapping quality	mapping quality
0.0	82460.0
1.0	2475.0
2.0	2546.0
3.0	4697.0
4.0	1915.0
5.0	2634.0
6.0	2039.0
7.0	1161.0
8.0	1558.0
9.0	805.0
10.0	1020.0
11.0	907.0
12.0	731.0
13.0	477.0
14.0	854.0
15.0	390.0
16.0	692.0
17.0	698.0
18.0	613.0
19.0	797.0
20.0	399.0
21.0	294.0
22.0	479.0
23.0	342.0
24.0	664.0
25.0	295.0
26.0	781.0
27.0	283.0
28.0	338.0
29.0	500.0
30.0	296.0
31.0	98.0
32.0	372.0
33.0	246.0
34.0	70.0
35.0	97.0
36.0	130.0
37.0	123.0
38.0	359.0
39.0	180.0
40.0	567.0
41.0	268.0
42.0	498.0
43.0	332.0
44.0	313.0
45.0	1893.0
46.0	245.0
47.0	305.0
48.0	327.0
49.0	96.0
50.0	110.0
51.0	341.0
52.0	319.0
53.0	487.0
54.0	382.0
55.0	797.0
56.0	1459.0
57.0	619.0
58.0	1278.0
59.0	86519.0
60.0	109116.0
