#Duplication rate	Coverage
1.0	16047.0
2.0	3877.0
3.0	1410.0
4.0	796.0
5.0	467.0
6.0	359.0
7.0	274.0
8.0	211.0
9.0	165.0
10.0	135.0
11.0	116.0
12.0	105.0
13.0	93.0
14.0	98.0
15.0	68.0
16.0	73.0
17.0	65.0
18.0	57.0
19.0	46.0
20.0	49.0
21.0	61.0
22.0	37.0
23.0	37.0
24.0	32.0
25.0	34.0
26.0	40.0
27.0	28.0
28.0	35.0
29.0	17.0
30.0	25.0
31.0	26.0
32.0	30.0
33.0	20.0
34.0	22.0
35.0	19.0
36.0	20.0
37.0	18.0
38.0	19.0
39.0	26.0
40.0	12.0
41.0	15.0
42.0	16.0
43.0	15.0
44.0	19.0
45.0	14.0
46.0	15.0
47.0	14.0
48.0	8.0
49.0	16.0
50.0	1372.0
