#Mapping quality	mapping quality
0.0	96934.0
1.0	3431.0
2.0	1896.0
3.0	5229.0
4.0	2264.0
5.0	2884.0
6.0	1958.0
7.0	1082.0
8.0	1553.0
9.0	1019.0
10.0	722.0
11.0	808.0
12.0	985.0
13.0	813.0
14.0	669.0
15.0	714.0
16.0	973.0
17.0	1242.0
18.0	569.0
19.0	285.0
20.0	584.0
21.0	300.0
22.0	334.0
23.0	777.0
24.0	249.0
25.0	997.0
26.0	633.0
27.0	342.0
28.0	288.0
29.0	191.0
30.0	480.0
31.0	154.0
32.0	125.0
33.0	417.0
34.0	193.0
35.0	67.0
36.0	173.0
37.0	131.0
38.0	145.0
39.0	147.0
40.0	1138.0
41.0	622.0
42.0	578.0
43.0	405.0
44.0	577.0
45.0	1933.0
46.0	364.0
47.0	356.0
48.0	235.0
49.0	211.0
50.0	305.0
51.0	421.0
52.0	320.0
53.0	302.0
54.0	663.0
55.0	608.0
56.0	835.0
57.0	1199.0
58.0	1613.0
59.0	86565.0
60.0	176029.0
