#Insert size (bp)	insert size
1.0	1714.0
2.0	128.0
3.0	245.0
4.0	38.0
5.0	1143.0
6.0	33.0
7.0	95.0
8.0	35.0
9.0	19.0
10.0	22.0
11.0	22.0
12.0	14.0
13.0	24.0
14.0	25.0
15.0	7.0
16.0	21.0
17.0	12.0
18.0	12.0
19.0	16.0
20.0	18.0
21.0	9.0
22.0	17.0
23.0	9.0
24.0	29.0
25.0	16.0
26.0	5.0
27.0	12.0
28.0	8.0
29.0	12.0
30.0	11.0
31.0	11.0
32.0	9.0
33.0	9.0
34.0	12.0
35.0	6.0
36.0	9.0
37.0	13.0
38.0	12.0
39.0	22.0
40.0	6.0
41.0	22.0
42.0	14.0
43.0	12.0
44.0	19.0
45.0	19.0
46.0	10.0
47.0	40.0
48.0	29.0
49.0	21.0
50.0	17.0
51.0	19.0
52.0	38.0
53.0	15.0
54.0	35.0
55.0	42.0
56.0	37.0
57.0	40.0
58.0	40.0
59.0	36.0
60.0	34.0
61.0	39.0
62.0	38.0
63.0	33.0
64.0	37.0
65.0	33.0
66.0	35.0
67.0	33.0
68.0	74.0
69.0	35.0
70.0	22.0
71.0	25.0
72.0	32.0
73.0	20.0
74.0	21.0
75.0	16.0
76.0	28.0
77.0	29.0
78.0	31.0
79.0	23.0
80.0	16.0
81.0	17.0
82.0	21.0
83.0	17.0
84.0	17.0
85.0	26.0
86.0	18.0
87.0	19.0
88.0	20.0
89.0	11.0
90.0	14.0
91.0	19.0
92.0	37.0
93.0	20.0
94.0	28.0
95.0	40.0
96.0	41.0
97.0	75.0
98.0	38.0
99.0	611.0
100.0	259.0
101.0	117.0
102.0	42.0
103.0	125.0
104.0	181.0
105.0	78.0
106.0	59.0
107.0	66.0
108.0	57.0
109.0	50.0
110.0	60.0
111.0	64.0
112.0	57.0
113.0	54.0
114.0	479.0
115.0	80.0
116.0	101.0
117.0	73.0
118.0	80.0
119.0	41.0
120.0	61.0
121.0	60.0
122.0	81.0
123.0	59.0
124.0	59.0
125.0	44.0
126.0	67.0
127.0	34.0
128.0	74.0
129.0	38.0
130.0	44.0
131.0	61.0
132.0	190.0
133.0	51.0
134.0	30.0
135.0	48.0
136.0	167.0
137.0	108.0
138.0	112.0
139.0	40.0
140.0	54.0
141.0	92.0
142.0	42.0
143.0	59.0
144.0	72.0
145.0	29.0
146.0	29.0
147.0	71.0
148.0	84.0
149.0	50.0
150.0	61.0
151.0	82.0
152.0	69.0
153.0	50.0
154.0	27.0
155.0	1173.0
156.0	56.0
157.0	25.0
158.0	67.0
159.0	107.0
160.0	26.0
161.0	42.0
162.0	34.0
163.0	56.0
164.0	52.0
165.0	67.0
166.0	42.0
167.0	46.0
168.0	63.0
169.0	216.0
170.0	38.0
171.0	72.0
172.0	57.0
173.0	74.0
174.0	102.0
175.0	102.0
176.0	54.0
177.0	57.0
178.0	40.0
179.0	83.0
180.0	10218.0
181.0	5695.0
182.0	51.0
183.0	36.0
184.0	49.0
185.0	128.0
186.0	80.0
187.0	9633.0
188.0	76.0
189.0	60.0
190.0	66.0
191.0	6757.0
192.0	41.0
193.0	70.0
194.0	75.0
195.0	91.0
196.0	8409.0
197.0	52.0
198.0	9319.0
199.0	7737.0
200.0	123.0
201.0	36.0
202.0	74.0
203.0	386.0
204.0	51.0
205.0	61.0
206.0	56.0
207.0	124.0
208.0	188.0
209.0	84.0
210.0	58.0
211.0	98.0
212.0	101.0
213.0	196.0
214.0	145.0
215.0	302.0
216.0	42015.0
217.0	26574.0
218.0	31060.0
219.0	34975.0
220.0	11900.0
221.0	28378.0
222.0	29567.0
