#Duplication rate	Coverage
1.0	16963.0
2.0	4270.0
3.0	1526.0
4.0	879.0
5.0	496.0
6.0	398.0
7.0	246.0
8.0	225.0
9.0	200.0
10.0	161.0
11.0	122.0
12.0	127.0
13.0	109.0
14.0	82.0
15.0	85.0
16.0	72.0
17.0	67.0
18.0	57.0
19.0	50.0
20.0	38.0
21.0	46.0
22.0	42.0
23.0	31.0
24.0	44.0
25.0	44.0
26.0	30.0
27.0	30.0
28.0	32.0
29.0	15.0
30.0	28.0
31.0	28.0
32.0	21.0
33.0	31.0
34.0	28.0
35.0	25.0
36.0	24.0
37.0	15.0
38.0	23.0
39.0	14.0
40.0	11.0
41.0	14.0
42.0	17.0
43.0	12.0
44.0	7.0
45.0	15.0
46.0	14.0
47.0	16.0
48.0	18.0
49.0	8.0
50.0	1494.0
