#Mapping quality	mapping quality
0.0	90036.0
1.0	2406.0
2.0	2668.0
3.0	4781.0
4.0	1894.0
5.0	2877.0
6.0	2271.0
7.0	1005.0
8.0	949.0
9.0	1169.0
10.0	782.0
11.0	668.0
12.0	661.0
13.0	510.0
14.0	742.0
15.0	460.0
16.0	499.0
17.0	690.0
18.0	618.0
19.0	266.0
20.0	417.0
21.0	184.0
22.0	496.0
23.0	453.0
24.0	417.0
25.0	532.0
26.0	514.0
27.0	455.0
28.0	381.0
29.0	359.0
30.0	198.0
31.0	678.0
32.0	105.0
33.0	372.0
34.0	476.0
35.0	197.0
36.0	200.0
37.0	409.0
38.0	110.0
39.0	142.0
40.0	472.0
41.0	547.0
42.0	470.0
43.0	412.0
44.0	721.0
45.0	1722.0
46.0	161.0
47.0	10.0
48.0	84.0
49.0	147.0
50.0	84.0
51.0	240.0
52.0	193.0
53.0	650.0
54.0	382.0
55.0	737.0
56.0	885.0
57.0	474.0
58.0	1323.0
59.0	86373.0
60.0	152391.0
