#Coverage	Number of genomic locations
0.0	3.209280093E9
1.0	9561.0
2.0	8043.0
3.0	796.0
4.0	4820.0
5.0	653.0
6.0	2002.0
7.0	780.0
8.0	2687.0
9.0	1707.0
10.0	1792.0
11.0	284.0
12.0	1891.0
13.0	624.0
14.0	1166.0
15.0	312.0
16.0	1853.0
17.0	778.0
18.0	1568.0
19.0	467.0
20.0	735.0
21.0	1090.0
22.0	1188.0
23.0	710.0
24.0	1059.0
25.0	1125.0
26.0	1314.0
27.0	1222.0
28.0	1824.0
29.0	1079.0
30.0	1310.0
31.0	969.0
32.0	1454.0
33.0	1003.0
34.0	904.0
35.0	841.0
36.0	1074.0
37.0	422.0
38.0	1272.0
39.0	1062.0
40.0	1237.0
41.0	496.0
42.0	1488.0
43.0	671.0
44.0	1585.0
45.0	744.0
46.0	1518.0
47.0	1133.0
48.0	1182.0
49.0	754.0
50.0	1761.0
51.0	941.0
52.0	1885.0
53.0	678.0
54.0	1921.0
55.0	1303.0
56.0	2146.0
57.0	1223.0
58.0	1468.0
59.0	1071.0
60.0	1616.0
61.0	684.0
62.0	1190.0
63.0	1059.0
64.0	1241.0
65.0	1069.0
66.0	1314.0
67.0	888.0
68.0	1210.0
69.0	278.0
70.0	1302.0
71.0	521.0
72.0	959.0
73.0	509.0
74.0	854.0
75.0	596.0
76.0	1066.0
77.0	496.0
78.0	938.0
79.0	523.0
80.0	1802.0
81.0	897.0
82.0	1168.0
83.0	523.0
84.0	546.0
85.0	770.0
86.0	806.0
87.0	971.0
88.0	611.0
89.0	419.0
90.0	761.0
91.0	865.0
92.0	999.0
93.0	1665.0
94.0	435.0
95.0	727.0
96.0	951.0
97.0	760.0
98.0	784.0
99.0	436.0
100.0	973.0
101.0	501.0
102.0	935.0
103.0	636.0
104.0	521.0
105.0	640.0
106.0	961.0
107.0	265.0
108.0	1342.0
109.0	543.0
110.0	1260.0
111.0	680.0
112.0	723.0
113.0	403.0
114.0	990.0
115.0	618.0
116.0	1615.0
117.0	111.0
118.0	451.0
119.0	333.0
120.0	668.0
121.0	726.0
122.0	662.0
123.0	771.0
124.0	951.0
125.0	246.0
126.0	816.0
127.0	341.0
128.0	708.0
129.0	681.0
130.0	803.0
131.0	467.0
132.0	732.0
133.0	757.0
134.0	733.0
135.0	542.0
136.0	1111.0
137.0	1373.0
138.0	426.0
139.0	131.0
140.0	646.0
141.0	430.0
142.0	223.0
143.0	209.0
144.0	753.0
145.0	348.0
146.0	204.0
147.0	159.0
148.0	212.0
149.0	204.0
150.0	206.0
151.0	363.0
152.0	308.0
153.0	411.0
154.0	129.0
155.0	82.0
156.0	216.0
157.0	209.0
158.0	388.0
159.0	234.0
160.0	714.0
161.0	321.0
162.0	484.0
163.0	230.0
164.0	363.0
165.0	575.0
166.0	389.0
167.0	185.0
168.0	197.0
169.0	321.0
170.0	197.0
171.0	149.0
172.0	537.0
173.0	512.0
174.0	152.0
175.0	41.0
176.0	77.0
177.0	137.0
178.0	212.0
179.0	228.0
180.0	72.0
181.0	165.0
182.0	272.0
183.0	376.0
184.0	227.0
185.0	136.0
186.0	218.0
187.0	120.0
188.0	48.0
189.0	315.0
190.0	51.0
191.0	78.0
192.0	74.0
193.0	38.0
194.0	72.0
195.0	59.0
196.0	404.0
197.0	319.0
198.0	142.0
199.0	247.0
200.0	69.0
201.0	216.0
202.0	116.0
203.0	157.0
204.0	291.0
205.0	241.0
206.0	115.0
207.0	66.0
208.0	32.0
209.0	204.0
210.0	79.0
211.0	88.0
212.0	50.0
213.0	123.0
214.0	14.0
215.0	66.0
216.0	214.0
217.0	37.0
218.0	236.0
219.0	111.0
220.0	73.0
221.0	55.0
222.0	56.0
223.0	92.0
224.0	23.0
225.0	250.0
226.0	12.0
227.0	49.0
228.0	125.0
229.0	53.0
230.0	20.0
231.0	131.0
232.0	47.0
233.0	107.0
234.0	43.0
235.0	127.0
236.0	40.0
237.0	50.0
238.0	108.0
239.0	39.0
240.0	2.0
241.0	16.0
242.0	59.0
243.0	14.0
244.0	107.0
245.0	11.0
246.0	61.0
247.0	116.0
248.0	120.0
249.0	12.0
250.0	82.0
251.0	2.0
252.0	3.0
253.0	21.0
254.0	94.0
255.0	6.0
256.0	73.0
257.0	3.0
258.0	3.0
259.0	6.0
260.0	111.0
261.0	9.0
262.0	99.0
263.0	161.0
264.0	14.0
265.0	1.0
266.0	84.0
267.0	18.0
268.0	82.0
269.0	14.0
270.0	16.0
271.0	172.0
272.0	127.0
273.0	130.0
274.0	234.0
275.0	81.0
276.0	133.0
277.0	69.0
278.0	7.0
279.0	21.0
280.0	97.0
281.0	134.0
282.0	19.0
283.0	105.0
284.0	64.0
285.0	41.0
286.0	180.0
287.0	21.0
288.0	76.0
289.0	24.0
291.0	24.0
292.0	68.0
293.0	38.0
294.0	40.0
295.0	3.0
296.0	111.0
297.0	28.0
298.0	49.0
299.0	37.0
300.0	45.0
301.0	1.0
302.0	2.0
303.0	30.0
304.0	89.0
305.0	33.0
306.0	131.0
307.0	257.0
308.0	45.0
309.0	13.0
310.0	18.0
311.0	86.0
312.0	11.0
314.0	2.0
315.0	1.0
316.0	2.0
317.0	27.0
318.0	81.0
319.0	17.0
320.0	1.0
322.0	1.0
324.0	5.0
325.0	3.0
326.0	2.0
327.0	6.0
328.0	12.0
329.0	5.0
330.0	123.0
331.0	3.0
332.0	94.0
333.0	105.0
334.0	78.0
335.0	98.0
336.0	52.0
337.0	88.0
338.0	3.0
339.0	5.0
340.0	6.0
341.0	50.0
342.0	171.0
343.0	6.0
344.0	6.0
345.0	8.0
346.0	33.0
347.0	173.0
348.0	89.0
349.0	3.0
350.0	53.0
351.0	8.0
352.0	32.0
353.0	74.0
358.0	7.0
360.0	1.0
361.0	3.0
366.0	1.0
367.0	6.0
369.0	10.0
372.0	1.0
375.0	1.0
377.0	2.0
378.0	1.0
381.0	1.0
382.0	1.0
383.0	9.0
385.0	26.0
386.0	31.0
387.0	1.0
388.0	9.0
389.0	2.0
390.0	180.0
391.0	31.0
392.0	4.0
393.0	4.0
394.0	3.0
395.0	11.0
396.0	19.0
397.0	58.0
413.0	1.0
415.0	1.0
417.0	2.0
419.0	1.0
420.0	7.0
421.0	12.0
422.0	26.0
423.0	58.0
424.0	22.0
425.0	1.0
472.0	1.0
473.0	5.0
474.0	1.0
475.0	4.0
476.0	2.0
477.0	12.0
478.0	2.0
