#Duplication rate	Coverage
1.0	16455.0
2.0	4169.0
3.0	1453.0
4.0	829.0
5.0	472.0
6.0	386.0
7.0	255.0
8.0	238.0
9.0	166.0
10.0	163.0
11.0	133.0
12.0	95.0
13.0	99.0
14.0	92.0
15.0	74.0
16.0	65.0
17.0	50.0
18.0	59.0
19.0	68.0
20.0	48.0
21.0	53.0
22.0	39.0
23.0	38.0
24.0	28.0
25.0	32.0
26.0	31.0
27.0	33.0
28.0	29.0
29.0	23.0
30.0	19.0
31.0	19.0
32.0	23.0
33.0	20.0
34.0	20.0
35.0	21.0
36.0	16.0
37.0	13.0
38.0	26.0
39.0	12.0
40.0	12.0
41.0	17.0
42.0	13.0
43.0	15.0
44.0	19.0
45.0	12.0
46.0	15.0
47.0	13.0
48.0	9.0
49.0	9.0
50.0	1465.0
