#Duplication rate	Coverage
1.0	13641.0
2.0	3317.0
3.0	1174.0
4.0	733.0
5.0	434.0
6.0	315.0
7.0	224.0
8.0	212.0
9.0	138.0
10.0	144.0
11.0	87.0
12.0	94.0
13.0	67.0
14.0	86.0
15.0	59.0
16.0	38.0
17.0	50.0
18.0	46.0
19.0	55.0
20.0	40.0
21.0	48.0
22.0	35.0
23.0	32.0
24.0	32.0
25.0	25.0
26.0	30.0
27.0	22.0
28.0	26.0
29.0	21.0
30.0	18.0
31.0	21.0
32.0	20.0
33.0	23.0
34.0	14.0
35.0	8.0
36.0	18.0
37.0	15.0
38.0	6.0
39.0	7.0
40.0	9.0
41.0	9.0
42.0	14.0
43.0	13.0
44.0	13.0
45.0	10.0
46.0	6.0
47.0	10.0
48.0	9.0
49.0	8.0
50.0	1337.0
