#Coverage (X)	Coverage
1.0	0.012952311864665944
2.0	0.009146155101106501
3.0	0.007169154578789971
4.0	0.006896990238388412
5.0	0.006293960055899106
6.0	0.0061615700979871235
7.0	0.0059349274635280835
8.0	0.005916232717765979
9.0	0.0057462663208696085
10.0	0.0057134881999587606
11.0	0.005604092779336156
12.0	0.005565612760975114
13.0	0.005463508291200014
14.0	0.005432007644586179
15.0	0.005362930558987955
16.0	0.0053555461344103605
17.0	0.005331928438934597
18.0	0.005315009694015771
19.0	0.00526344335362694
20.0	0.005244873239504955
21.0	0.005194366268042927
22.0	0.005186047106178648
23.0	0.005151679931884701
24.0	0.005139559505053626
25.0	0.00512438560308226
26.0	0.005110395701663606
27.0	0.005091233587251054
28.0	0.005072819262679218
29.0	0.005046366197419161
30.0	0.005045057565212119
31.0	0.005040165773408489
32.0	0.0050315038745338825
33.0	0.0050096310219913676
34.0	0.0050034929138007556
35.0	0.004999255438093542
36.0	0.004986854590072198
37.0	0.004977818796291444
38.0	0.0049724284779273376
39.0	0.004965511422000191
40.0	0.004947657939794681
41.0	0.0049419248844344565
42.0	0.004939993094041029
43.0	0.004927529930199626
44.0	0.004915129082178282
45.0	0.004911358975121516
46.0	0.004906560657047976
47.0	0.0049008899174936005
48.0	0.00488961075421912
49.0	0.004877147590377717
50.0	0.004875714326530556
51.0	0.00486861032314323
