#Insert size (bp)	insert size
1.0	411.0
2.0	47.0
3.0	73.0
4.0	17.0
5.0	372.0
6.0	18.0
7.0	21.0
8.0	15.0
9.0	14.0
10.0	7.0
11.0	11.0
12.0	10.0
13.0	13.0
14.0	8.0
15.0	9.0
16.0	11.0
17.0	3.0
18.0	6.0
19.0	6.0
20.0	3.0
21.0	5.0
22.0	4.0
23.0	5.0
24.0	9.0
25.0	2.0
26.0	4.0
27.0	1.0
28.0	4.0
29.0	5.0
30.0	2.0
31.0	3.0
32.0	5.0
33.0	1.0
34.0	5.0
35.0	4.0
36.0	4.0
37.0	7.0
38.0	2.0
39.0	7.0
40.0	8.0
41.0	6.0
42.0	5.0
43.0	16.0
44.0	8.0
45.0	13.0
46.0	8.0
47.0	45.0
48.0	20.0
49.0	13.0
50.0	5.0
51.0	8.0
52.0	13.0
53.0	13.0
54.0	12.0
55.0	12.0
56.0	11.0
57.0	11.0
58.0	15.0
59.0	17.0
60.0	13.0
61.0	13.0
62.0	13.0
63.0	17.0
64.0	20.0
65.0	14.0
66.0	11.0
67.0	11.0
68.0	15.0
69.0	13.0
70.0	9.0
71.0	14.0
72.0	11.0
73.0	7.0
74.0	12.0
75.0	14.0
76.0	3.0
77.0	8.0
78.0	10.0
79.0	11.0
80.0	8.0
81.0	9.0
82.0	13.0
83.0	11.0
84.0	5.0
85.0	10.0
86.0	9.0
87.0	10.0
88.0	11.0
89.0	8.0
90.0	14.0
91.0	11.0
92.0	14.0
93.0	19.0
94.0	9.0
95.0	34.0
96.0	18.0
97.0	23.0
98.0	16.0
99.0	163.0
100.0	85.0
101.0	42.0
102.0	16.0
103.0	68.0
104.0	101.0
105.0	31.0
106.0	36.0
107.0	22.0
108.0	31.0
109.0	18.0
110.0	19.0
111.0	27.0
112.0	25.0
113.0	37.0
114.0	74.0
115.0	24.0
116.0	55.0
117.0	32.0
118.0	32.0
119.0	22.0
120.0	27.0
121.0	40.0
122.0	34.0
123.0	31.0
124.0	23.0
125.0	16.0
126.0	46.0
127.0	30.0
128.0	28.0
129.0	22.0
130.0	23.0
131.0	39.0
132.0	69.0
133.0	14.0
134.0	20.0
135.0	30.0
136.0	88.0
137.0	57.0
138.0	43.0
139.0	38.0
140.0	32.0
141.0	36.0
142.0	27.0
143.0	33.0
144.0	28.0
145.0	12.0
146.0	28.0
147.0	34.0
148.0	39.0
