#Duplication rate	Coverage
1.0	26066.0
2.0	7738.0
3.0	3003.0
4.0	1729.0
5.0	1003.0
6.0	705.0
7.0	517.0
8.0	410.0
9.0	298.0
10.0	268.0
11.0	242.0
12.0	194.0
13.0	161.0
14.0	163.0
15.0	137.0
16.0	119.0
17.0	115.0
18.0	87.0
19.0	81.0
20.0	74.0
21.0	68.0
22.0	73.0
23.0	49.0
24.0	52.0
25.0	53.0
26.0	48.0
27.0	55.0
28.0	51.0
29.0	48.0
30.0	41.0
31.0	46.0
32.0	46.0
33.0	41.0
34.0	29.0
35.0	33.0
36.0	31.0
37.0	27.0
38.0	34.0
39.0	23.0
40.0	36.0
41.0	24.0
42.0	23.0
43.0	23.0
44.0	26.0
45.0	19.0
46.0	22.0
47.0	26.0
48.0	19.0
49.0	16.0
50.0	2083.0
